"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
130,10,10,3,1,1,1,0.11,"Entire home/apt","Inner Richmond","flexible"
275,10,10,1,2,1,1,0.13,"Entire home/apt","Inner Richmond","moderate"
85,9,10,4,1,1,1,0.18,"Private room","Western Addition","flexible"
200,9,9,2,1,1,1,2.58,"Entire home/apt","Western Addition","strict"
100,10,10,2,1,1,1,1,"Private room","Western Addition","flexible"
100,10,10,1,1,0.5,1,0.04,"Private room","Western Addition","flexible"
170,9,10,2,1,1,1,1.12,"Entire home/apt","Western Addition","flexible"
480,10,10,3,3,2,2,0.65,"Entire home/apt","Western Addition","strict"
185,10,10,3,1,1,2,2,"Entire home/apt","Western Addition","strict"
160,9,10,3,2,1,1,0.22,"Entire home/apt","Western Addition","moderate"
90,9,10,3,1,1,2,1.12,"Private room","Western Addition","flexible"
100,8,10,1,1,1.5,1,0.1,"Private room","Western Addition","flexible"
150,10,10,1,1,1.5,1,2.12,"Private room","Western Addition","flexible"
225,10,10,2,1,1,1,0.17,"Entire home/apt","Western Addition","flexible"
95,10,10,1,1,1,1,2.89,"Private room","Western Addition","flexible"
229,10,10,30,2,1,3,1.62,"Entire home/apt","North Beach","strict"
175,8,10,4,2,1,1,0.13,"Entire home/apt","North Beach","strict"
97,7,10,2,2,1,1,1.43,"Entire home/apt","North Beach","flexible"
200,9,10,7,1,1,1,0.17,"Entire home/apt","Nob Hill","flexible"
209,9,10,3,3,2,2,0.1,"Entire home/apt","Nob Hill","moderate"
258,10,10,2,3,2,1,0.61,"Entire home/apt","Nob Hill","strict"
160,8,10,5,2,1,1,0.86,"Entire home/apt","Nob Hill","strict"
300,10,10,2,1,1,3,2.99,"Entire home/apt","Nob Hill","moderate"
