"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
80,10,10,1,1,1,2,6.1,"Private room","Howard University, Le Droit Park, Cardozo/Shaw","flexible"
899,10,10,2,2,1,1,0.08,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","flexible"
200,10,10,2,2,1,4,0.99,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","strict"
159,9,10,3,1,1,1,1.18,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","flexible"
140,9,10,2,2,1,2,0.79,"Entire home/apt","Howard University, Le Droit Park, Cardozo/Shaw","strict"
350,10,10,3,2,1,1,0.12,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","moderate"
175,9,9,2,1,1,1,2.73,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","strict"
138,10,10,1,2,1,1,0.19,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","moderate"
110,10,10,2,2,1,1,0.2,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","strict"
111,9,10,2,2,1,2,0.73,"Entire home/apt","D","strict"
999,10,10,2,1,1,1,0.27,"Entire home/apt","Brightwood Park, Crestwood, Petworth","flexible"
69,10,10,3,2,1,2,0.43,"Entire home/apt","Brightwood Park, Crestwood, Petworth","moderate"
85,10,10,2,1,1,1,0.27,"Entire home/apt","Brightwood Park, Crestwood, Petworth","moderate"
250,10,10,2,1,1,2,1,"Entire home/apt","Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace","flexible"
165,10,10,3,1,1,2,0.28,"Entire home/apt","Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace","strict"
120,10,10,2,1,1,1,0.6,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
94,10,10,2,2,1,1,4.49,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
500,10,2,2,2,1,1,0.3,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
112,10,10,1,2,1,2,2.7,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
160,10,10,2,2,1.5,2,4.5,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
300,8,10,2,3,2,1,0.27,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
119,10,10,1,2,1,1,0.62,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
74,10,10,1,1,1,1,0.83,"Private room","C","flexible"
139,10,10,2,2,1,4,1.13,"Entire home/apt","C","moderate"
65,10,10,2,3,1,1,1.53,"Entire home/apt","C","moderate"
82,10,10,3,1,1,1,4.17,"Entire home/apt","Cathedral Heights, McLean Gardens, Glover Park","strict"
25,9,10,1,1,2,1,0.01,"Shared room","Cathedral Heights, McLean Gardens, Glover Park","flexible"
100,8,10,1,1,1,1,0.18,"Private room","Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace","flexible"
115,10,10,2,2,1,1,0.82,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
89,10,10,1,1,1,2,5.11,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
189,9,10,2,1,1,2,0.71,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
85,10,10,1,2,1,1,1.79,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
97,10,10,2,1,1,1,1,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
135,10,10,4,5,1,4,2.58,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
145,10,10,1,4,1,4,6.09,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
95,9,10,1,2,1,1,0.4,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
88,10,10,2,1,1,1,1.88,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
89,10,10,10,2,2.5,1,0.06,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
83,10,10,3,1,1,1,0.56,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
68,10,10,19,1,1,1,0.29,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
92,10,9,2,1,1,1,5.5,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
800,9,9,1,1,1,1,0.27,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
75,10,10,4,2,1,2,0.23,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
135,9,10,2,1,1,1,3.2,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
95,10,10,1,1,1,1,0.85,"Private room","Capitol Hill, Lincoln Park","flexible"
350,8,10,2,3,1,4,1.36,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
125,10,10,1,1,1,1,3.04,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
90,9,10,1,1,1,1,0.72,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
379,10,10,2,1,1,1,0.28,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
60,10,10,1,1,1,1,0.31,"Private room","Brightwood Park, Crestwood, Petworth","strict"
48,10,10,1,1,1.5,1,0.94,"Private room","Brightwood Park, Crestwood, Petworth","moderate"
60,10,10,1,1,1,2,1,"Entire home/apt","C","flexible"
95,10,10,1,1,1,2,4.88,"Entire home/apt","B","flexible"
80,10,8,1,1,1,1,0.04,"Entire home/apt","A","flexible"
43,10,10,1,1,1,1,0.27,"Private room","A","flexible"
189,9,9,2,4,1,1,1.3,"Entire home/apt","D","strict"
120,10,10,30,1,1,1,0.44,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
85,9,9,2,1,1,1,0.53,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
178,10,10,1,1,2,1,0.82,"Private room","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
149,10,10,2,2,1,2,0.27,"Private room","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
124,10,10,2,2,1,2,4.42,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
105,9,10,3,2,1,2,2.42,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
150,10,10,2,1,1,2,1.76,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
150,10,10,2,2,1,1,0.27,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
185,10,10,2,2,1,2,7.27,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
150,10,10,3,1,1,1,0.74,"Entire home/apt","Union Station, Stanton Park, Kingman Park","flexible"
300,10,10,2,1,1,1,1.09,"Private room","Union Station, Stanton Park, Kingman Park","flexible"
120,10,10,2,2,1,2,2.25,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
75,10,10,2,2,1,2,2.23,"Entire home/apt","Union Station, Stanton Park, Kingman Park","flexible"
139,10,10,6,2,2,1,0.93,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
