"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
35,8,9,1,1,1,1,3.82,"Shared room","Dorchester","flexible"
195,9,9,2,1,1,1,0.66,"Entire home/apt","South End","moderate"
279,8,10,2,1,1,1,0.06,"Entire home/apt","South End","super_strict_30"
99,10,10,3,1,1,1,2,"Private room","South End","moderate"
200,10,10,1,1,1,1,0.37,"Entire home/apt","South End","strict"
148,8,10,7,1,1,1,0.56,"Entire home/apt","Back Bay","strict"
225,7,9,1,2,1,2,3.62,"Entire home/apt","Back Bay","strict"
319,9,9,3,2,2,1,2.08,"Entire home/apt","Back Bay","strict"
319,10,10,2,2,2,1,0.29,"Entire home/apt","Back Bay","strict"
399,9,9,3,3,3,1,0.38,"Entire home/apt","Back Bay","super_strict_30"
200,10,10,5,2,1,1,1.67,"Entire home/apt","Back Bay","moderate"
225,10,10,1,1,1,1,1.25,"Entire home/apt","Back Bay","strict"
329,9,10,4,2,1,4,0.15,"Entire home/apt","Back Bay","super_strict_30"
250,6,10,2,2,1.5,1,1.02,"Entire home/apt","Back Bay","strict"
248,9,10,2,1,1,2,2.83,"Entire home/apt","Back Bay","strict"
133,10,10,2,1,1,1,7.11,"Entire home/apt","East Boston","moderate"
250,10,10,1,2,1,4,0.23,"Entire home/apt","East Boston","flexible"
150,9,9,1,3,1,4,5.28,"Entire home/apt","East Boston","moderate"
105,8,9,1,1,1,1,8.6,"Private room","East Boston","moderate"
95,8,10,1,1,1,2,2,"Private room","East Boston","flexible"
181,10,10,1,2,1,4,5.92,"Entire home/apt","East Boston","moderate"
70,10,9,5,1,1,1,0.24,"Entire home/apt","East Boston","flexible"
150,10,10,3,2,1,2,0.6,"Entire home/apt","East Boston","strict"
195,10,10,1,3,1,1,7.4,"Entire home/apt","East Boston","flexible"
150,9,10,2,1,1,2,1.89,"Entire home/apt","East Boston","moderate"
169,10,10,6,3,1,4,0.81,"Entire home/apt","East Boston","flexible"
199,9,10,10,2,2,1,0.71,"Entire home/apt","Downtown","strict"
110,9,10,6,1,1,0,0.24,"Entire home/apt","Beacon Hill","strict"
220,10,10,1,2,1,1,4,"Entire home/apt","Beacon Hill","flexible"
155,10,9,1,1,1,1,1.73,"Entire home/apt","Beacon Hill","strict"
85,8,9,3,1,1,1,0.47,"Private room","Beacon Hill","strict"
140,10,10,1,1,1,1,0.5,"Private room","Beacon Hill","flexible"
179,10,10,1,1,1,1,1.74,"Entire home/apt","Beacon Hill","moderate"
188,10,10,5,2,1,2,0.77,"Entire home/apt","Beacon Hill","strict"
40,9,9,1,1,1,1,0.46,"Shared room","Brighton","strict"
65,5,10,3,1,1,2,0.15,"Private room","Dorchester","strict"
125,10,9,2,2,1,2,0.41,"Entire home/apt","Dorchester","strict"
300,10,10,3,2,1.5,1,0.81,"Entire home/apt","Dorchester","moderate"
125,10,9,2,3,1,2,0.22,"Entire home/apt","Dorchester","strict"
39,10,10,30,1,1,1,0.43,"Private room","Dorchester","strict"
99,7,9,1,2,1,1,7.7,"Entire home/apt","Beacon Hill","flexible"
329,10,10,4,2,2,1,0.16,"Entire home/apt","Downtown","super_strict_30"
209,10,9,5,1,1,1,2.08,"Entire home/apt","Downtown","super_strict_30"
199,10,10,10,2,1,1,0.15,"Entire home/apt","Downtown","flexible"
199,10,10,2,2,2,1,0.6,"Entire home/apt","Downtown","strict"
160,9,10,3,2,1,1,1,"Entire home/apt","Downtown","flexible"
119,10,8,2,2,2,1,3.06,"Entire home/apt","Downtown","strict"
300,10,10,2,1,1,1,2,"Entire home/apt","Fenway","moderate"
429,9,9,3,3,2,1,0.36,"Entire home/apt","Fenway","moderate"
85,10,10,2,1,1,1,2,"Private room","Fenway","flexible"
57,10,10,14,1,1.5,1,0.46,"Private room","Fenway","moderate"
115,9,9,1,1,1,1,3.58,"Private room","Fenway","strict"
175,9,10,1,2,1,1,0.7,"Private room","Fenway","flexible"
150,7,10,1,1,1,1,0.51,"Entire home/apt","Fenway","flexible"
350,9,10,1,1,1,1,0.63,"Entire home/apt","South Boston Waterfront","moderate"
199,9,10,3,2,2,1,0.41,"Entire home/apt","South Boston Waterfront","strict"
143,10,9,2,1,1,1,1.33,"Entire home/apt","South Boston","strict"
100,10,10,1,1,1,1,2.15,"Private room","South Boston","flexible"
290,10,10,2,2,1.5,1,0.3,"Entire home/apt","South Boston","flexible"
169,10,10,1,2,1,1,0.24,"Private room","South Boston","flexible"
225,10,10,2,4,2,4,1,"Entire home/apt","South Boston","strict"
239,10,10,3,3,2,1,2.4,"Entire home/apt","Allston","strict"
400,9,9,4,6,2,6,0.41,"Entire home/apt","Allston","strict"
200,6,9,2,2,1,1,0.38,"Entire home/apt","Allston","moderate"
69,10,10,2,1,1,1,0.36,"Private room","Jamaica Plain","moderate"
95,9,9,2,1,1,1,1.32,"Private room","Jamaica Plain","flexible"
100,10,10,1,1,1,1,0.6,"Shared room","Jamaica Plain","strict"
75,9,10,1,2,1,2,3.59,"Private room","Jamaica Plain","moderate"
136,10,9,4,1,1,2,1.95,"Entire home/apt","Jamaica Plain","strict"
110,10,10,7,2,1.5,1,0.13,"Entire home/apt","Jamaica Plain","strict"
175,9,10,3,1,1,2,1.47,"Entire home/apt","Jamaica Plain","moderate"
65,10,5,2,1,1,1,0.36,"Entire home/apt","Mission Hill","moderate"
35,4,8,20,1,2.5,1,1,"Private room","Mission Hill","flexible"
65,8,9,1,1,2,1,0.82,"Private room","Mission Hill","strict"
88,10,10,1,1,1,1,1.38,"Private room","Mission Hill","strict"
